Number,Date,User,Tweet,Location
89,2023-03-11 13:29:33+00:00,TimetoHelpUK,Join us in making a difference for those affected by the Turkey and Syria earthquakes. Your contribution of just £490 can provide much needed relief. Let's come together to support those in need and make a positive impact. #turkey #syria #earthquake #donate https://t.co/Nk7fAsjKIc,London
90,2023-03-11 02:09:11+00:00,RupinderKGill,"#Turkey &amp; #Syria's #earthquake #rescue teams are in need of our help. There are #organisations everywhere you can #donate too if you are willing. Every #donation is saving lives. ❤🙏 🇹🇷

@BritishRedCross
@Unicef
@DECappeal
@Rescue_UK 
@Savechildrenuk 

#TurkeyEarthquake #Turkiye https://t.co/IFt2jUpOo9","England, United Kingdom"
91,2023-03-11 01:25:11+00:00,JoelFanMusic,"Chef José Andrés' @WCKitchen needs and deserves our help.

10 million #meals served in #Turkey and #Syria since the #earthquake. Over 200 million in #Ukraine since the #invasion. 200 tons of #food for the #Pakistan #flood.

https://t.co/K7uCX6AUyr

#ChefsForTheWorld #UkraineWar https://t.co/pnIbbayk1M",In concerts around the world
92,2023-03-10 21:13:40+00:00,ObadaJbara,"We build this tent for a family that they have a dangerous cracked house
Because of the earthquake
Help more people by donating here
https://t.co/X8fqebjvar

#earthquake #earthquakeinturkey #earthquakesyria #syria #idlib #ngo #need #help https://t.co/HdSntBTmNq",Syria - Idlib
93,2023-03-10 18:59:52+00:00,KrutikaKuppalli,Thanks @DrTedros and @DrMikeRyan for all you are doing to help the people of #Syria and #Turkiye who have been affected by the devastating #earthquake,Global Citizen 
94,2023-03-10 18:25:14+00:00,gbibuildingco,"PLEASE don't forget these people!

Please share with your friends. 

Turkey and Syria earthquake victims need OUR help!

Please contribute whatever you can.

Thank you!

https://t.co/CDUCZWUKcd

#Turkey #earthquakerelief 
#Syria #earthquake",USA 🇺🇲 - Worldwide 🌍
95,2023-03-10 17:33:20+00:00,ObiWanRey,"https://t.co/wFLWaNRyP8
#earthquake #inturkey #hatay #rescue #animals #help",
96,2023-03-10 17:24:36+00:00,CsdPakistan,"CSD's contribution in participating in the Earthquake Relief operations for Turkiye and Syria in their tough times. We support our help and prayers to all the Earthquake affectees. 
#MyCSD #supermarket #retailstore #earthquake #TurkeyEarthquake #Syria_earthquake https://t.co/yylcbMpqyC",
97,2023-03-10 17:22:41+00:00,CsdPakistan,"CSD's contribution in participating in the Earthquake Relief operations for Turkiye and Syria in their tough times. We support our help and prayers to all the Earthquake affectees. 
#MyCSD #supermarket #retailstore #earthquake #TurkeyEarthquake #syriaearthquake #donations https://t.co/HXmFVIBMkD",
98,2023-03-10 16:44:52+00:00,HelpAge,"Since Feb 6 when the #earthquake struck, thanks to the support of our partners @Age_Int + @decappeal approx. 2,900 people, including #OlderPeople received ready to eat food &amp; shelter kits, &amp; about 4,417 people received consultation services at the primary healthcare centre so far https://t.co/ejFED8z3fq",Global
